,index,City,Location,Job,Company,Summary,Salary,Salary_Class
55,818,Houston,"Houston, TX",Senior Research Data Coordinator - Gynecologic Oncology & Reproductive Medicine,MD Anderson Cancer Center,And coordinates all data. Maintains schedules for the timely submissions of all grant data. Care while linking basic science with clinical and translational...,46000.0,0
56,866,Houston,"Sugar Land, TX 77479","COORDINATOR, CURRICULUM TECHNOLOGY APPLICATIONS",Fort Bend ISD,"Monitor and maintain student achievement data, including data from RtI screeners, and provide regular updates to applicable stakeholders to promote the success...",84686.5,1
57,907,Washington+DC,"Washington, DC",Data Scientist (Math background),Jobspring Partners,"The data scientist will develop and implement new methods. The senior data scientist will be working on research, development, and methodology....",200000.0,1
58,930,Washington+DC,"Alexandria, VA",Sr. Human Services Benefits Program Specialist / Data (Alexandria),Commonwealth of Virginia,"Experience in analyzing verbal and written data; The Senior Benefit Programs Specialist develops, implements, and maintains data collection systems and other...",51616.5,0
59,935,Washington+DC,"Washington, DC",Data Scientist,Workbridge Associates,A leading provider of data and technology for companies that support and promote free enterprise is looking to bring on a Data Scientist with management...,125000.0,1
60,953,Washington+DC,"Washington, DC",Data Scientist,Central Intelligence Agency,"Bachelor's degree in any area, but with experience in data analytics, computer science, mathematics, statistics, economics, operations research, computational...",91066.0,1
61,979,Washington+DC,"Alexandria, VA",Sr. Human Services Benefits Program Specialist / Data (Alexandria),Dept of Social Services - Local,"Experience in analyzing verbal and written data; The Senior Benefit Programs Specialist develops, implements, and maintains data collection systems and other...",51616.5,0
62,1012,Washington+DC,"Washington, DC",Analytic Methodologist,Central Intelligence Agency,"Many methodologists also are able to apply their understanding of programming languages, although formal training in computer science is not a requirement....",72951.0,1
63,1015,Washington+DC,"College Park, MD",Post-Doctoral Scientist,University of Maryland,And analyzing data. The University of Maryland Center for Environmental Science ( UMCES ) at the Institute of Marine and Environmental Technology ( IMET ) seeks...,42500.0,0
64,1101,Washington+DC,"Washington, DC",Big Data/IoT Software Engineer,Jobspring Partners,"Data Science expereince, geospatial processing, ETL. IoT, Big Data, Java, Scala, Python, Analytics, Sensor, Machine Learning, Spark, Accumulo, Kafka, RabbitMQ,...",130000.0,1
65,1166,Washington+DC,"Washington, DC",Technical Architect / Lead Developer,"SaiTech, Inc.",Experience must demonstrate a technical understanding and working knowledge of Big Data Storage and Big Data Analytics technologies....,130000.0,1
66,1170,Washington+DC,"Laurel, MD 20707",Solution Architect - Applications,WSSC,"Bachelor’s degree in Computer Science or related technical discipline. Develops and facilitates strategies in the area of system, data and application...",128572.5,1
67,1184,Washington+DC,"Washington, DC",IT Specialist (Data Mgmt./Syst,Metropolitan Police Department,"Plan and design data warehouse architectures. Undergraduate or graduate degree in computer science, engineering, information science, information systems...",118540.5,1
68,1187,Washington+DC,"Washington, DC",Information Technology Special,Disability Services,"Degree in computer science, engineering, information science, information systems management, mathematics, operations research, statistics, or technology...",86711.0,1
69,1219,Washington+DC,"Washington, DC",Backend Big Data Engineer,Workbridge Associates,"BS or MS in computer Science. Experience with big data processing frameworks such as Apache Spark, Kafka, Hadoop....",110000.0,1
70,1223,Washington+DC,"Washington, DC",Data Transformation Engineer,Workbridge Associates,"Strong understanding of Data and Data Analysis. 2+ years of experience with Data Transformation. This company works in the life sciences, financial, and legal...",100000.0,1
71,1304,Washington+DC,"Washington, DC",Technical Developer - NRO,Central Intelligence Agency,"When applying to a Directorate of Science and Technology position, attach to the online application the following:....",94665.0,1
72,1426,San+Francisco,"San Francisco, CA",Data Engineer,Upsight,"Experience with BI related principles such as ETL, data modeling and data warehousing. 3 years of data software engineering or related experience designing and...",30000.0,0
73,1434,San+Francisco,"San Mateo, CA",Associate Data Scientist,Harnham,Prior experience in a Data Science or Analytical capacity. Associate Data Scientist. YOUR ROLE AS ASSOCIATE DATA SCIENTIST:....,130000.0,1
74,1443,San+Francisco,"Oakland, CA",Program Analyst II (Selective Cert. - Wo...,"City of Oakland, CA",Gathers data on placement activities related to citywide youth employment. Provides extensive data gathering analysis on business and economic trends in support...,76764.0,1
75,1466,San+Francisco,"San Francisco, CA 94124 (Bayview area)",IS Business Analyst - Clinic Call Center Analyst,City & County of San Francisco,"Produce standard/ad-hoc reports, extract data into the BI systems (Tableau) and provide data analysis support....",92157.0,1
76,1506,San+Francisco,"San Francisco, CA 94124 (Bayview area)",Senior Management Assistant (SFUSD Policy & Planning),City & County of San Francisco,"Gathers, compiles, analyzes data and prepares reports using database programs, spreadsheets, various word processing applications, and statistical techniques to...",79876.5,1
77,1531,San+Francisco,"Berkeley, CA",Fundraiser 3,University of California Berkeley,"Funding and data sharing). Using rigorous field trials, behavioral experiments, and tools from data science, we measure and maximize the impacts of economic...",85050.0,1
78,1545,San+Francisco,"Berkeley, CA",Business Systems Analyst 4,University of California Berkeley,"Generating detailed reports and designing data analysis services, creating specifications for systems to meet requirements;...",95500.0,1
79,1571,San+Francisco,"Redwood City, CA",Instructional Aide II (Learning Center - Math Jam),San Mateo County Community College District,"Comparing data, and interpreting data to others; Experience researching, preparing and compiling data for statistical, narrative and other reports....",57651.0,0
80,1582,San+Francisco,"San Mateo, CA","Associate Director, GXP Inspection Management",Katalyst Healthcares & Life Sciences,Monitor sources of regulatory intelligence data. Bachelor's Degree in Life Science or other technical/scientific area and industry experience....,190000.0,1
81,1587,San+Francisco,"San Francisco, CA 94105 (Financial District area)",Principal Consultant & Technical Manager,"Terrace Software, Inc.","O Experience with relational and no-SQL data storage systems. Computer Science, Computer Information Systems or comparable Technical Degree....",152500.0,1
82,1589,San+Francisco,"Berkeley, CA",Waterfront Supervisor,"City of Berkeley, CA",Justifies and documents recommendations with appropriate background data; Researches and gathers data for periodic and special reports for management review;...,100350.0,1
83,1644,San+Francisco,"Berkeley, CA",Academic Program Mgr. - MICS Program,University of California Berkeley,Our Master of Information and Data Science (MIDS) program is an online degree designed for working professionals with career goals in the emerging field of data...,144100.0,1
84,1665,San+Francisco,"South San Francisco, CA",Prevention Project Assistant,Asian American Recovery Services,"Enter data into various electronic systems while maintaining the integrity and accuracy of the data. Bachelor’s Degree with a focus on Social Science, Health...",34000.0,0
85,1679,San+Francisco,"San Mateo, CA",Planning and Research Analyst (HSI-Grant Funded),San Mateo County Community College District,"Uses software packages to retrieve, edit, and tabulate data from various databases and files and data sources;...",97116.0,1
86,1716,San+Francisco,"Berkeley, CA",TechHive Facilitator,University of California Berkeley,"The Lawrence Hall of Science is University of California, Berkeley’s public science center, serving more than 170,000 visitors on site each year....",46000.0,0
87,1728,San+Francisco,"San Francisco, CA",Director of Digital Analytics - FinTech,Harnham,"Ideally an advanced degree in Mathematics, Statistics, Economics or Computer Science. Digital Analytics, Data Science, Digital Analyst, Google Analytics, Adobe...",220000.0,1
88,1763,San+Francisco,"San Francisco, CA",Head of Data Science,Harnham,Head of Data Science - Technology. YOUR ROLE AS HEAD OF DATA SCIENCE:. Substantial leadership experience in building and leading data science teams....,225000.0,1
89,1804,Boston,"Boston, MA","Principal Analyst, Data Science",Liberty Mutual,Deep knowledge of data science and model applications & limitations. Answers complex questions by synthesizing data from diverse sources....,114600.0,1
90,1822,Boston,"Boston, MA","Senior Analyst/Consultant, Countrywide Analytics - US Consumer Markets",Liberty Mutual,"Broad proficiency in Excel (VBA, macros, scripts, formulas, data visualization, etc.), PowerPoint, and statistical software packages (e.g....",109550.0,1
91,1826,Boston,"Boston, MA","Analyst/Senior Analyst, Advanced Analytics",Liberty Mutual,Preferred experience manipulating and analyzing data. Examples include exploring third-party data vendors such as Experian or Capital IQ....,94100.0,1
92,1841,Boston,"Boston, MA",Principal Analyst,Liberty Mutual,"Utilize data science to manipulate data sets, identify patterns in raw data, & develop models to predict the likelihood of a future outcome or optimize business...",125400.0,1
93,1845,Boston,"Boston, MA",Analyst/Senior Analyst - Product Technology Solutions,Liberty Mutual,"Bachelors or Master’s degree (with an analytical discipline like Economics, Business Administration, Mathematics, Statistics, Marketing Analytics or Data...",94100.0,1
94,1901,Boston,"Boston, MA 02111 (Central area)",Lead Software Engineer (.NET / C# / SQL),WinterWyman,"Bachelor’s Degree in Computer Science, Business, Economics, Finance or related subject. In delivering systems enhancements, the Lead will also coordinate...",170000.0,1
95,1940,Boston,"Quincy, MA",SAP MM WM Consultant,Burgeon IT Services,Exposure to working on Projects and Support in validated environments in Life Sciences / Med Devices industry....,100000.0,1
96,1954,Boston,"Boston, MA","Director II, Applied Science, Solaria Labs",Liberty Mutual,"Many of the concepts developed at Solaria Labs require the application of advanced technology, such as data science and blockchain platforms....",163200.0,1
97,1972,Boston,"Boston, MA","Director, Rapid Prototyping, Solaria Labs",Liberty Mutual,"Experience with Big Data technologies beneficial, such as Hadoop. The role will coordinate with the Solaria Labs Applied Science team to implement advanced...",144550.0,1
98,1988,Boston,"Boston, MA",Deputy Director of Strategy,Commonwealth of Massachusetts,"To manage, interpret, and present complex data sets. Degree in a relevant field such as business administration, political science,. The....",55232.0,0
99,2077,Boston,"Wellesley, MA",2017 Summer Internship - Data Science/Informatics Graduate,All-In Analytics,"Demonstrates proficiency in several areas of data modeling, machine learning algorithms, statistical analysis, data engineering and data visualization....",75000.0,1
100,2428,Kansas+City,"Kansas Speedway, KS",Account Manager,AmeriPark,"Minimum 2 year degree involving Computer Science, Accounting or IT. Able to decipher reports, identify trends, compile data and extract to GM in at-a-glance...",41000.0,0
101,2438,Kansas+City,"Kansas City, KS",Regulatory Compliance Manager,3coast,"A Bachelor's degree in Chemistry, Environmental Science or related science field is preferred. Utilize and monitor laboratory data for understanding of impact...",97500.0,1
102,2482,Kansas+City,"Kansas City, KS 66103",Bilingual Evaluation Specialist,Unbound,"Experience setting up, cleaning and configuring data sets. Master’s degree in a related field (international studies, development or other social science field...",46000.0,0
103,2555,Philadelphia,"Media, PA 19063",Business Intelligence Analyst,Delaware County Community College,"Work with Data Custodians and Data Base Administrators, as needed, to manage changes; Must have the ability to analyze data and provide solutions to complex...",65000.0,0
104,2611,Philadelphia,"Philadelphia, PA",Data Pipeline Engineer PHD Python,Liberty Personnel Services,"Our Data Science team works on specialized engagements involving data acquisition, data visualization, and machine learning models built upon a plethora of data...",150000.0,1
105,2648,Philadelphia,"Media, PA 19063",Director of Outcomes Assessment,Delaware County Community College,"Experience with quantitative and qualitative data analysis; The ideal candidate must have a Master's degree in a social science, educational assessment, program...",72000.0,0
106,2701,Philadelphia,"Philadelphia, PA 19123 (Poplar-Ludlow-Yorktowne area)",BE Case Manager,PMHCC,"Bachelors Degree in (including but not limited to) sociology, social work, psychology, gerontology, anthropology, political science, history, criminal justice,...",37115.0,0
107,2737,Philadelphia,"Philadelphia, PA 19123 (Poplar-Ludlow-Yorktowne area)",ACT Case Management Specialist,PMHCC,"Bachelors Degree in (including but not limited to) sociology, social work, psychology, gerontology, anthropology, political science, history, criminal justice,...",38684.0,0
108,2769,Philadelphia,"Wilmington, DE",Director of Community Integrated Health,YMCA,"They must also possess the ability to work with data, be detail orientated and have exceptional organizational and communication skills....",45400.0,0
109,2785,Philadelphia,"Philadelphia, PA 19123 (Poplar-Ludlow-Yorktowne area)",BE Vocational Specialist,PMHCC,"Assesses individual's strengths, needs, and wants utilizing instruments to operationalize data in the consumer's behalf....",37740.0,0
110,2787,Philadelphia,"Philadelphia, PA 19104 (Belmont area)",Application Support Analyst,RemX Specialty Staffing,"Bachelor's Degree in Computer Science, Information Science, Mathematics, MIS, or related discipline. Data analysis, query writing, reporting, analytics....",75000.0,1
111,2809,Philadelphia,"Philadelphia, PA 19130 (Fairmount-Spring Garden area)",Assessment Worker,Philadelphia Corporation for Aging,"Accuracy and completeness of data entry. Bachelor's degree in Social Work or related behavioral science, or....",35000.0,0
112,2851,Philadelphia,"Philadelphia, PA 19103 (Belmont area)","Data Modeler - Spark, Scala","Computer Enterprises, Inc.","Responsible for assisting EBI Data Science team or their clients in data engineering and supporting the development of analytical models using statistical,...",130000.0,1
113,2872,Philadelphia,"Willow Grove, PA",BUSINESS ANALYST,Monarch Staffing,"Responsible to collect fleet operational data, financial data, and other data to formulate strategy. Supporting the executives and managers to make sound...",90000.0,1
114,2874,Philadelphia,"Philadelphia, PA 19123 (Poplar-Ludlow-Yorktowne area)",Service Manager - BHSI,PMHCC,Computer management information system and data entry skills are essential. Minimum Bachelors degree in Social Work or related behavioral science field and 2...,37115.0,0
115,2893,Philadelphia,"Horsham, PA 19044",Performance Test Engineer,iTech Solutions,"Bachelor's degree in Computer Science, Information Technology or relevant field and 6+ years of related work experience....",95000.0,1
116,2924,Philadelphia,"Bristol, PA",Environmental Application Specialist,"Stivers Staffing Services, Inc.","Familiarity with USEPA Analytical Methods and USEPA data validation guidelines methods for the analysis of drinking water, waste water and solid waste...",80000.0,1
117,2939,Philadelphia,"Glassboro, NJ","Staff Accountant/PSS4, AS (Accounting Services)",Rowan University,The Graduate School of Biomedical Sciences; Assists in compiling data to support the post compliance bond issue compliance....,48133.5,0
118,2993,Denver,"Aurora, CO",Professional Research Assistant,University of Colorado,"Skaggs School of Pharmacy and Pharmaceutical Sciences. Experience working with tissue culture, data analysis and interpretation....",34000.0,0
119,2995,Denver,"Denver, CO",Instructor,University of Colorado,"Dissemination, and data base management. With academic programs ranging from the liberal arts and sciences to global. Colorado Denver l Anschutz Medical Campus....",25000.0,0
120,3006,Denver,"Aurora, CO",Research Associate,University of Colorado,Geospatial data modeling. A Health Sciences Library; Prepare database analyses including data elements and definitions (data dictionaries);...,58000.0,0
121,3010,Denver,"Denver, CO",Asset Management Analyst,State of Colorado Job Opportunities,"A bachelor's degree from an accredited college or university in data science, data analytics, business analytics, information sciences, public administration,...",70506.0,0
122,3012,Denver,"Denver, CO",SENIOR DATA ANALYST,Denver Public Schools,"Assist research projects by recommending data sources, cleaning data, and compiling data files. Bachelor’s degree in computer science, information systems, or...",70500.0,0
123,3017,Denver,"Denver, CO",ASSESSMENT SPECIALIST - SCIENCE,Denver Public Schools,"Assume a lead role in the subject area of Science. We serve as a resource for test development, proper administration procedures, data collection, reporting,...",63339.0,0
124,3019,Denver,"Boulder, CO",Program Assistant,University of Colorado,"Processes beginning and end-of-semester course survey data in a quickly. All workshops, advertising workshops, reporting workshop data, and assists with....",45264.0,0
125,3020,Denver,"Denver, CO",BIS PROJECT ANALYST,Denver Public Schools,"Data analysis skills. Strong knowledge in analysis of business processes, data and workflows. Experience with data mapping, business requirements analysis and...",75170.0,1
126,3025,Denver,"Denver, CO",Senior Evaluator (Research Associate),University of Colorado,The knowledge and ability to seek out resources to locate and analyze data from secondary data sources; Colorado Clinical and Translational Science Institute...,84000.0,1
127,3043,Denver,"Denver, CO",Health IT Data Architect - Term Limited,State of Colorado Job Opportunities,Develops data architecture and technical requirements for SIM HIT. Hands-on experience developing data models and framework for complex systems....,97914.0,1
128,3054,Denver,"Denver, CO",Developer II - CDOT,State of Colorado Job Opportunities,Familiarity with using Application Programming Interfaces to integrate systems or data sources. Undergraduate degree from an accredited college or university in...,64404.0,0
129,3063,Denver,"Aurora, CO",Biobank Technical Manager,University of Colorado,Science or medical technology AND at least 1 year of genetics laboratory. Proficiency in molecular genetics laboratory techniques and data analysis in a wide...,75000.0,1
130,3081,Denver,"Aurora, CO",Access Services Specialist & Course Reserve Specialist,University of Colorado,"Health Sciences Library. Bachelor’s degree in Library Sciences, English, Communication or a. A master’s degree in Library Sciences, English, Communication or a....",37053.0,0
131,3083,Denver,"Denver, CO",State Regional SNAP Employment & Training / TANF Representative,State of Colorado Job Opportunities,"Graduation from an accredited college or university with a bachelor's degree in Social Work, Business or Public Administration, Economics, Psychology, Political...",59544.0,0
132,3090,Denver,"Denver, CO",TEACHING FELLOW,Denver Public Schools,"Teaching Fellows assist in facilitating the delivery of daily core content instruction to small groups of students in Math, Language Arts, Science or Social...",21000.0,0
133,3102,Denver,"Aurora, CO",Health Links Manager,University of Colorado,"A Health Sciences Library; Data use and technical management experience. Experience with data management software, Microsoft Excel, Pages,....",59167.0,0
134,3105,Denver,"Aurora, CO",Assistant/Associate Professor,University of Colorado,"Life sciences library. Life sciences, or academic library. Knowledge of bioinformatics and data management. University of Colorado – Health Sciences Library....",83500.0,1
135,3117,Denver,"Boulder, CO",Scientific Software Developer,3coast,"Data analysis background. This Client is looking for a Scientific Programmer, preferably with a physical sciences background....",95000.0,1
136,3119,Denver,"Golden, CO",Web Content Coordinator - Lakewood Colorado,"Jefferson County, CO","Analyze trends, usage statistics, and survey data to determine areas for future content development. Degree in Library or Information Science, Journalism or...",58190.5,0
137,3121,Denver,"Denver, CO 80204 (Central West Denver area)",Analyst Data Modeler,Denver Health,"SDLC practices, BI reporting concepts, server and database environment management, data warehouse and BI architecture, data cleansing and data quality...",93190.0,1
138,3142,Denver,"Denver, CO",Integrations Developer,University of Colorado,The incumbent will partner with a Data Analyst by providing expertise on the data and integrations ecosystem at CU....,70000.0,0
139,3146,Denver,"Boulder, CO",Administrative Assistant III,University of Colorado,Smead Department of Aerospace Engineering Sciences. Smead Department of Aerospace Engineering Sciences exists....,40608.0,0
